Barkal ,বরকল,22.725156,92.379511
Juraichhari ,জুরাইছড়ি,22.670822,92.378894
Rajasthali ,রাজাস্থলি,22.389281,92.282738
Kaptai ,কাপ্তাই,22.494382,92.221207
Langadu ,লাঙ্গাডু,22.938589,92.184328
Nannerchar ,নান্নেরচর,22.862167,92.110662
Kaukhali ,কাউখালি,22.625809,90.070005
Faridpur Sadar ,ফরিদপুর সদর,23.620352,89.813036
Boalmari ,বোয়ালমারী,23.405847,89.681621
Alfadanga ,আলফাডাঙ্গা,23.274873,89.691022
Madhukhali ,মধুখালি,23.548546,89.606328
Bhanga ,ভাঙ্গা,23.406169,90.018656
Nagarkanda ,নগরকান্ড,23.453769,89.906631
Charbhadrasan ,চরভদ্রাসন,23.596657,89.981344
Sadarpur ,সদরপুর,23.501411,90.055994
Shaltha ,শালথা,23.43281,89.782568
Gazipur Sadar-Joydebpur,গাজীপুর সদর,23.999941,90.420272
Kaliakior,কালিয়াকৈর,24.119897,90.280787
Kapasia,কাপাসিয়া,24.16661,90.582536
Sripur,শ্রীপুর,24.199657,90.48091
Kaliganj,কালীগঞ্জ,23.964478,90.573071
Tongi,টঙ্গি,23.901041,90.408822
Gopalganj Sadar ,গোপালগঞ্জ সদর,23.901041,90.408822
Kashiani ,কাশিয়ানি,23.167846,89.794289
Kotalipara ,কোটালিপাড়া,23.04885,90.03732
Muksudpur ,মুকসুদপুর,23.263238,89.906631
Tungipara ,টুঙ্গিপাড়া,22.907337,89.898451
Dewanganj ,দেওয়ানগঞ্জ,25.21243,89.756769
Baksiganj ,বকসিগঞ্জ,25.184411,89.868051
Islampur ,ইসলামপুর,25.070125,89.756769
Jamalpur Sadar ,জামালপুর সদর,24.856744,90.03732
Madarganj ,মাদারগঞ্জ,24.880288,89.756769
Melandaha ,মেলানদাহা,24.98125,89.827089
Sarishabari ,সরিষাবাড়ি,24.751297,89.82826
Narundi Police I.C,নারুন্দি,24.8626,90.1167
Astagram ,অষ্টগ্রাম,24.279535,91.118514
Bajitpur ,বাজিতপুর,24.213799,90.952204
Bhairab ,ভৈরব,24.044159,90.985652
Hossainpur ,হোসেনপুর,24.439631,90.667818
Itna ,ইটনা,24.544192,91.077772
Karimganj ,করিমগঞ্জ,24.450395,90.886583
Katiadi ,কতিয়াদি,24.308222,90.810357
Kishoreganj Sadar ,কিশোরগঞ্জ সদর,24.403491,90.772297
Kuliarchar ,কুলিয়ারচর,24.153209,90.896122
Mithamain ,মিঠামাইন,24.419558,91.063402
Nikli ,নিকলি,24.354873,90.962952
Pakundia ,পাকুন্ডা,24.308785,90.696285
Tarail ,তাড়াইল,24.545202,90.92475
Madaripur Sadar,মাদারীপুর সদর,23.215535,90.168227
Kalkini,কালকিনি,23.072433,90.280787
Rajoir,রাজইর,23.206683,90.04899
Shibchar,শিবচর,23.358449,90.168227
Manikganj Sadar ,মানিকগঞ্জ সদর,23.834677,90.018656
Singair ,সিঙ্গাইর,23.786991,90.168227
Shibalaya ,শিবালয়,23.834622,89.86922
Saturia ,সাঠুরিয়া,23.972972,90.036153
Harirampur ,হরিরামপুর,23.715676,89.96268
Ghior ,ঘিওর,23.870348,89.915978
Daulatpur ,দৌলতপুর,23.941626,89.803664
Lohajang ,লোহাজং,23.474305,90.32073
Sreenagar ,শ্রীনগর,23.54879,90.280787
Munshiganj Sadar ,মুন্সিগঞ্জ সদর,23.500474,90.544691
Sirajdikhan ,সিরাজদিখান,23.596162,90.393672
Tongibari ,টঙ্গিবাড়ি,23.509655,90.46675
Gazaria ,গজারিয়া,23.547811,90.620416
Bhaluka,ভালুকা,24.407929,90.386607
Trishal,ত্রিশাল,24.581658,90.39485
Haluaghat,হালুয়াঘাট,25.11734,90.356008
Muktagachha,মুক্তাগাছা,24.766018,90.256137
Dhobaura,ধবারুয়া,25.116904,90.506882
Fulbaria,ফুলবাড়িয়া,24.571553,90.262004
Gaffargaon,গফরগাঁও,24.457185,90.548696
Gauripur,গৌরিপুর,24.736913,90.582536
Ishwarganj,ঈশ্বরগঞ্জ,24.692342,90.59437
Mymensingh Sadar,ময়মনসিং সদর,24.785106,90.356008
Nandail,নন্দাইল,24.568722,90.690353
Phulpur,ফুলপুর,24.975079,90.318379
Araihazar ,আড়াইহাজার,23.791656,90.653591
Sonargaon ,সোনারগাঁও,23.690642,90.620416
Bandar,বান্দার,23.631449,90.535236
Naryanganj Sadar ,নারায়ানগঞ্জ সদর,23.631574,90.497436
Rupganj ,রূপগঞ্জ,23.833721,90.544691
Siddirgonj ,সিদ্ধিরগঞ্জ,23.71466,90.563609
Belabo ,বেলাবো,24.106647,90.85143
Monohardi ,মনোহরদি,24.165958,90.734273
Narsingdi Sadar ,নরসিংদী সদর,23.880702,90.696285
Palash ,পলাশ,23.964178,90.64885
"Raipura , Narsingdi",রায়পুর,23.9749,90.8866
Shibpur ,শিবপুর,24.023079,90.772297
Kendua,কেন্দুয়া,24.688369,90.810357
Atpara,আটপাড়া,24.809776,90.860365
Barhatta,বরহাট্টা,24.925333,90.886583
Durgapur,দুর্গাপুর,25.113273,90.674933
Kalmakanda,কলমাকান্দা,25.067912,90.848452
Madan,মদন,24.7143,90.9462
Mohanganj,মোহনগঞ্জ,24.874322,90.979677
Netrakona Sadar,নেত্রকোনা সদর,24.855,90.7153
Purbadhala,পূর্বধলা,24.926823,90.582536
Khaliajuri,খালিয়াজুরি,24.686418,91.116117
Baliakandi ,বালিয়াকান্দি,23.634687,89.547405
Goalandaghat ,গোয়ালন্দ ঘাট,23.739292,89.756769
Pangsha ,পাংশা,23.780022,89.412731
Kalukhali ,কালুখালি,23.427954,89.083143
Rajbari Sadar ,রাজবাড়ি সদর,23.715315,89.662811
Shariatpur Sadar -Palong,শরীয়তপুর সদর ,23.2153,90.3184
Damudya ,দামুদিয়া,23.131682,90.421944
Naria ,নড়িয়া,23.262676,90.431373
Jajira ,জাজিরা,23.347831,90.300753
Bhedarganj ,ভেদারগঞ্জ,23.214812,90.506882
Gosairhat ,গোসাইর হাট,23.09884,90.452595
Jhenaigati ,ঝিনাইগাতি,25.185938,90.062999
Nakla ,নাকলা,24.975276,90.205711
Nalitabari ,নালিতাবাড়ি,25.141367,90.186964
Sherpur Sadar ,শেরপুর সদর,25.022872,90.018656
Sreebardi ,শ্রীবরদি,25.147401,89.939336
Tangail Sadar ,টাঙ্গাইল সদর,24.262769,89.86922
Sakhipur ,সখিপুর,24.286485,90.186964
Basail ,বাসাইল,24.233097,90.051325
Madhupur ,মধুপুর,24.643032,90.055994
Ghatail ,ঘাটাইল,24.476738,90.03732
Kalihati ,কালিহাতি,24.357903,89.944006
Nagarpur ,নগরপুর,24.057671,89.876238
Mirzapur ,মির্জাপুর,24.105253,90.105056
Gopalpur ,গোপালপুর,24.562854,89.927659
Delduar ,দেলদুয়ার,24.120143,89.944006
Bhuapur ,ভুয়াপুর,24.45284,89.794289
Dhanbari ,ধানবাড়ি,24.690533,89.944006
Bagerhat Sadar ,বাগেরহাট সদর,22.655452,89.766153
Chitalmari ,চিতলমাড়ি,22.786664,89.86922
Fakirhat ,ফকিরহাট,22.777513,89.70747
Kachua ,কচুয়া,23.341144,90.888968
Mollahat ,মোল্লাহাট,22.881864,89.756769
Mongla ,মংলা,22.49422,89.601617
Morrelganj ,মরেলগঞ্জ,22.449941,89.852842
Rampal ,রামপাল,22.595713,89.681621
Sarankhola ,স্মরণখোলা,22.095223,89.813036
Damurhuda ,দামুরহুদা,23.606738,88.77585
Chuadanga Sadar ,চুয়াডাঙ্গা সদর,23.641984,88.856576
Jibannagar ,জীবন নগর,23.422604,88.8239
Alamdanga ,আলমডাঙ্গা,23.762667,88.943781
Abhaynagar ,অভয়নগর,23.023818,89.379583
Keshabpur ,কেশবপুর,22.880184,89.227703
Bagherpara ,বাঘের পাড়া,23.214254,89.341667
Jessore Sadar ,যশোর সদর,23.166097,89.227703
Chaugachha ,চৌগাছা,23.260329,89.037048
Manirampur ,মনিরামপুর,23.023153,89.227703
Jhikargachha ,ঝিকরগাছা,23.099907,89.099108
Sharsha ,সারশা,23.069281,88.960536
Jhenaidah Sadar ,ঝিনাইদহ সদর,23.499124,89.151548
Maheshpur ,মহেশপুর,23.330349,88.826301
Kaliganj ,কালীগঞ্জ,23.356252,89.151548
Kotchandpur ,কোট চাঁদপুর,23.407529,89.011958
Shailkupa ,শৈলকুপা,23.684083,89.241966
Harinakunda ,হাড়িনাকুন্দা,23.641528,89.07525
Terokhada ,তেরোখাদা,22.935322,89.667514
Batiaghata ,বাটিয়াঘাটা,22.726361,89.502564
Dacope ,ডাকপে,22.601235,89.507287
Dumuria ,ডুমুরিয়া,22.857225,89.436391
Dighalia ,দিঘলিয়া,22.881361,89.53089
Koyra ,কয়ড়া,22.094086,89.36063
Paikgachha ,পাইকগাছা,22.593092,89.316765
Phultala ,ফুলতলা,22.940664,89.445851
Rupsa ,রূপসা,22.822051,89.63458
Kushtia Sadar,কুষ্টিয়া সদর,23.831919,89.07525
Kumarkhali,কুমারখালি,23.859581,89.239589
Daulatpur,দৌলতপুর,24.020689,88.845504
Mirpur,মিরপুর,23.87903,88.99881
Bheramara,ভেরামারা,24.020975,88.992234
Khoksa,খোকসা,23.797376,89.294221
Magura Sadar ,মাগুরা সদর,23.452716,89.417464
Mohammadpur ,মোহাম্মাদপুর,23.405578,89.568627
Shalikha ,শালিখা,23.357162,89.341667
Sreepur ,শ্রীপুর,24.199657,90.48091
Gangni ,গাংনী,23.820652,88.742183
Mujib Nagar ,মুজিব নগর,23.646846,88.592761
Meherpur Sadar ,মেহেরপুর সদর,23.778046,88.650939
Narail Sadar,নড়াইল সদর,23.1657,89.499
Lohagara,লোহাগাড়া,23.167579,89.643992
Kalia,কালিয়া,23.024629,89.643992
Satkhira Sadar ,সাতক্ষীরা সদর,22.736163,89.037048
Assasuni ,আসসাশুনি,22.546319,89.189643
Debhata ,দেভাটা,22.580946,88.989245
Tala ,তালা,22.760933,89.208677
Kalaroa ,কলারোয়া,22.87915,89.037048
Kaliganj ,কালীগঞ্জ,23.964478,90.573071
Shyamnagar ,শ্যামনগর,21.950168,89.1706
Adamdighi,আদমদিঘী,24.829925,89.037048
Bogra Sadar,বগুড়া সদর,24.879042,89.341667
Sherpur,শেরপুর,24.64192,89.417464
Dhunat,ধুনট,24.677969,89.540328
Dhupchanchia,দুপচাচিয়া,24.8812,89.177742
Gabtali,গাবতলি,24.879497,89.455309
Kahaloo,কাহালু,24.831216,89.265727
Nandigram,নন্দিগ্রাম,24.688568,89.227703
Sahajanpur,শাহজাহানপুর,24.760427,89.36063
Sariakandi,সারিয়াকান্দি,24.888773,89.570984
Shibganj,শিবগঞ্জ,25.000568,89.320323
Sonatala,সোনাতলা,25.010183,89.502564
Joypurhat S,জয়পুরহাট সদর,25.1147,89.037
Akkelpur,আক্কেলপুর,24.969246,89.020323
Kalai,কালাই,25.080035,89.199161
Khetlal,খেতলাল,25.038009,89.108648
Panchbibi,পাঁচবিবি,25.209753,89.07525
Naogaon Sadar ,নওগাঁ সদর,24.78139,88.883883
Mohadevpur ,মহাদেবপুর,24.919792,88.751805
Manda ,মান্দা,24.756593,88.7494
Niamatpur ,নিয়ামতপুর,24.833623,88.569819
Atrai ,আত্রাই,24.592473,89.037048
Raninagar ,রাণীনগর,24.728486,88.95575
Patnitala ,পত্নীতলা,25.064922,88.730153
Dhamoirhat ,ধামইরহাট,25.150396,88.851503
Sapahar ,সাপাহার,25.134111,88.517852
Porsha ,পোরশা,25.015333,88.498499
Badalgachhi ,বদলগাছি,24.968485,88.910249
Natore Sadar ,নাটোর সদর,24.402158,88.99881
Baraigram ,বড়াইগ্রাম,24.284137,24.284137
Bagatipara ,বাগাতিপাড়া,24.302402,88.964126
Lalpur ,লালপুর,24.211746,88.960536
Baraigram ,বড়াই গ্রাম,24.2841,89.1325
Bholahat ,ভোলাহাট,24.916999,88.187668
Gomastapur ,গোমস্তাপুর,24.871768,88.382199
Nachole ,নাচোল,24.73266,88.413728
Nawabganj Sadar ,নবাবগঞ্জ সদর,24.585601,88.265584
Shibganj ,শিবগঞ্জ,24.683748,88.157193
Atgharia ,আটঘরিয়া,24.118212,89.227703
Bera ,বেড়া,24.076563,89.61457
Bhangura ,ভাঙ্গুরা,24.249792,89.407997
Chatmohar ,চাটমোহর,24.21369,89.303715
Faridpur ,ফরিদপুর,23.542392,89.630892
Ishwardi ,ঈশ্বরদী,24.070032,89.113417
